build ,  0_android.yml 
build static-analysis ,  690_linter.yml 
release ,  691_goreleaser.yml 
build ,  692_deploy.yml 
build ,  693_ci.yml 
generic-CI ,  694_main.yml 
build ,  6_deploy-docs.yml 
build ,  700_main.yml 
build ,  701_publish.yml 
build ,  702_android.yml 
release ,  703_release-snapshot.yml 
test test ,  704_js.yml 
generic-CI ,  705_pr-labels.yml 
unclassified ,  706_proto.yml 
test test ,  707_go.yml 
documentation release ,  708_release-tag.yml 
test ,  709_general.yml 
build ,  710_doc.yml 
build ,  711_deploy-docs.yml 
unclassified ,  712_issue-manager.yml 
release update ,  713_release-drafter.yml 
generic-CI generic-CI generic-CI generic-CI ,  714_ci.yml 
static-analysis test test test release ,  715_tests.yml 
generic-CI test generic-CI release ,  717_push.yml 
test ,  718_ci.yml 
build ,  719_dockerbuild.yml 
build ,  720_nightly.yml 
build ,  722_spider_action.yml 
generic-CI ,  72_ci-update-dependencies.yml 
unclassified ,  737_pick-me.yml 
build ,  738_release-apidocs.yml 
build ,  739_release-candidate-to-bintray.yml 
generic-CI ,  73_ci-detekt.yml 
build ,  740_release-to-bintray.yml 
documentation build ,  745_misc.yml 
generic-CI ,  74_ci-unit-test.yml 
test ,  758_Python_tests.yml 
generic-CI ,  75_ci-ktlint.yml 
generic-CI hello-world ,  75_main.yml 
static-analysis ,  763_markdownlint.yml 
build ,  764_CI.yml 
generic-CI ,  764_test-env-cleanup.yml 
build ,  765_CD.yml 
test static-analysis test ,  766_test.yml 
deploy ,  767_test-env-deploy.yml 
build ,  769_workflow.yml 
generic-CI ,  76_ci-android-lint.yml 
build ,  772_check-build.yml 
build ,  773_build_and_test.yml 
static-analysis ,  775_clang-tidy.yml 
build ,  775_main.yml 
deploy ,  776_deploy.yml 
build ,  776_pythonapp.yml 
test test unit-test test build ,  777_build.yml 
build ,  779_rust.yml 
generic-CI ,  77_ci-ui-test.yml 
documentation static-analysis static-analysis static-analysis static-analysis static-analysis ,  782_linters.yml 
build deploy ,  783_build-windows.yml 
test deploy ,  783_main.yml 
build ,  786_main.yml 
generic-CI ,  78_ci-build-debug.yml 
generic-CI update ,  78_main.yml 
static-analysis ,  791_test.yml 
test ,  791_Tests.yml 
build ,  792_elixir.yml 
build ,  792_main.yml 
test ,  794_ci.yml 
release ,  795_release.yml 
test ,  796_check.yml 
build ,  797_go.yml 
release ,  797_publish.yml 
build ,  798_build.yml 
release ,  798_npmpublish.yml 
test ,  79_run-tests.yml 
release ,  7_release.yml 
build ,  801_codeql-analysis.yml 
build ,  802_c.yml 
static-analysis test ,  802_nodejs.yml 
update ,  803_dependency-update.yml 
build ,  804_android.yml 
release ,  804_release.yml 
generic-CI ,  805_central-sync.yml 
white-box-test ,  805_coverage.yml 
release ,  806_release-notes.yml 
test test ,  806_test.yml 
build ,  807_gradle.yml 
build ,  808_corretto.yml 
test ,  809_test-macos.yml 
test ,  80_nodejs.yml 
test deploy ,  812_test-linux.yml 
test ,  818_test-asan.yml 
build ,  822_go.yml 
test ,  82_plugins.yml 
build test deploy test deploy test ,  836_build-tarball.yml 
build ,  845_main.yml 
build ,  850_ci.yml 
build ,  851_pythonapp.yml 
build ,  857_linux.yml 
generic-CI generic-CI ,  858_ci.yml 
build ,  859_main.yml 
build ,  85_flutter.yml 
build ,  860_ci.yml 
generic-CI refactoring test ,  862_ci.yml 
static-analysis ,  865_oms.yml 
build ,  86_makepkg.yml 
test ,  875_test.yml 
unclassified ,  87_remove-old-artifacts.yml 
build ,  881_nodejs.yml 
generic-CI ,  886_rebase.yml 
build ,  889_push.yml 
build ,  890_validate-push.yml 
generic-CI ,  891_stale.yml 
generic-CI ,  892_rebase.yml 
test ,  892_test.yml 
deploy ,  893_deploy.yml 
build deploy ,  894_ci.yml 
build ,  896_build.yml 
release ,  897_npm-publish-rc.yml 
release ,  898_npm-publish-pro.yml 
release ,  899_npm-publish.yml 
static-analysis documentation static-analysis test integration-test generic-CI ,  899_rotki_ci.yml 
release ,  8_ci.yml 
generic-CI ,  900_rebase.yml 
update ,  900_update-icons.yml 
release ,  901_npm-publish-rc-pro.yml 
build ,  902_autotag.yml 
test ,  902_endToEndTests.yml 
generic-CI ,  902_rebase.yml 
test deploy ,  903_testDebian.yml 
build ,  904_build.yml 
test ,  904_gatsby.yml 
release release release generic-CI release ,  905_release.yml 
test ,  905_test.yml 
build ,  906_featurepeek.yml 
build ,  906_upload-to-staging.yml 
generic-CI ,  907_rebase.yml 
release update ,  907_release-drafter.yml 
generic-CI ,  908_pr-labeler.yml 
generic-CI ,  908_rebase.yml 
build ,  90_build.yml 
build ,  90_dotnetcore.yml 
build ,  912_ci.yml 
build ,  913_cd.yml 
generic-CI ,  914_rebase.yml 
unclassified ,  918_pkgdown.yml 
generic-CI ,  918_rebase.yml 
unclassified ,  919_render-readme.yml 
generic-CI test ,  91_run-tests.yml 
generic-CI ,  929_rebase.yml 
build ,  92_rust.yml 
unclassified ,  92_wheels.yml 
generic-CI ,  930_rebase.yml 
test ,  934_ci.yml 
test ,  935_tests.yml 
test ,  93_allowed_names.yml 
test ,  93_CI.yml 
generic-CI ,  93_stale.yml 
test ,  93_tests.yml 
build test ,  942_aspnetcore.yml 
generic-CI ,  945_stale.yml 
hello-world ,  946_greetings.yml 
build deploy ,  94_azure-app-svc-linux-container.yml 
test static-analysis ,  94_coverage-lint.yml 
generic-CI ,  94_stale.yml 
test ,  950_releasetestpypi.yml 
test ,  951_tests2.yml 
release ,  952_release.yml 
build white-box-test ,  953_coverage.yml 
unclassified ,  954_cpr-example-command.yml 
build test documentation test generic-CI ,  955_ci.yml 
unclassified ,  956_slash-command-dispatch.yml 
update ,  957_update-dep.yml 
build deploy unclassified ,  95_azure-static-web-apps-red-field-08a069f1e.yml 
build ,  95_CI.yml 
update update deploy update ,  95_tag.yml 
test ,  95_test.yml 
build static-analysis ,  963_linter.yml 
build ,  964_build-ubuntu.yml 
build ,  964_build.yml 
build ,  965_build_windows.yml 
static-analysis ,  965_upload-pypi-source.yml 
build ,  966_build-macos.yml 
build install ,  967_build-windows.yml 
release update ,  968_release-drafter.yml 
build release ,  969_release.yml 
unclassified ,  969_vuejs.yml 
build deploy ,  96_azure-app-svc-windows-deploy.yml 
build ,  96_issue-ref.yml 
build ,  970_coverage.yml 
test ,  970_generator.yml 
build test ,  971_ci.yml 
test test ,  973_build.yml 
build ,  979_aspnetcore.yml 
build deploy ,  97_azure-app-svc-linux-deploy.yml 
test ,  97_cla.yml 
release release ,  983_release.yml 
build ,  984_ci.yml 
build test ,  986_php.yml 
build deploy unclassified ,  98_azure-static-web-apps-victorious-stone-0284aec1e.yml 
release ,  98_force-release.yml 
update ,  992_update_jorje.yml 
generic-CI ,  998_ci.yml 
build deploy ,  99_azure-storage-deploy.yml 
release ,  99_release.yml 
release ,  9_build.yml 
build ,  9_push.yml 
